"Club","Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","LeagueNameLong"
"Real Madrid","Diego Piñeiro",38,"GK","0","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Mario de Luis",43,"GK","1.83 m","73 kg","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Dani Carvajal",2,"Def","1.73 m","73 kg","Spain","24","6","0","0","4","17","14","5","1","0",7,"0","Spanish La Liga"
"Real Madrid","Éder Militão",3,"Def","1.85 m","78 kg","Brazil","30","3","0","0","0","27","33","4","0","5",22,"8","Spanish La Liga"
"Real Madrid","David Alaba",4,"Def","1.8 m","78 kg","Austria","21","2","0","0","3","7","3","3","0","1",12,"3","Spanish La Liga"
"Real Madrid","Jesús Vallejo",5,"Def","1.83 m","78 kg","Spain","1","1","0","0","0","0","0","0","0","0",2,"1","Spanish La Liga"
"Real Madrid","Nacho",6,"Def","1.8 m","76 kg","Spain","24","8","0","0","1","16","13","6","0","1",10,"5","Spanish La Liga"
"Real Madrid","Álvaro Odriozola",16,"Def","1.75 m","66 kg","Spain","3","3","0","0","0","0","2","0","0","0",1,"0","Spanish La Liga"
"Real Madrid","Antonio Rüdiger",22,"Def","1.91 m","83 kg","Germany","29","6","0","0","0","9","5","1","0","1",17,"4","Spanish La Liga"
"Real Madrid","Ferland Mendy",23,"Def","1.8 m","73 kg","France","16","1","0","0","1","4","18","2","0","0",1,"0","Spanish La Liga"
"Real Madrid","Vinicius Augusto",37,"Def","1.75 m","66 kg","Brazil","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Marvel",41,"Def","1.8 m","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Toni Kroos",8,"Mid","1.83 m","76 kg","Germany","26","4","0","0","3","20","27","1","1","2",25,"8","Spanish La Liga"
"Real Madrid","Luka Modric",10,"Mid","1.73 m","66 kg","Croatia","29","12","0","0","4","17","15","6","0","4",30,"6","Spanish La Liga"
"Real Madrid","Eduardo Camavinga",12,"Mid","1.83 m","68 kg","France","33","15","0","0","1","34","57","6","0","0",18,"3","Spanish La Liga"
"Real Madrid","Federico Valverde",15,"Mid","1.83 m","78 kg","Uruguay","31","4","0","0","4","11","15","2","0","7",58,"20","Spanish La Liga"
"Real Madrid","Lucas Vázquez",17,"Mid","1.73 m","68 kg","Spain","20","10","0","0","1","19","13","1","0","4",13,"7","Spanish La Liga"
"Real Madrid","Aurélien Tchouaméni",18,"Mid","1.88 m","81 kg","France","29","7","0","0","4","31","32","1","0","0",36,"6","Spanish La Liga"
"Real Madrid","Dani Ceballos",19,"Mid","1.78 m","68 kg","Spain","26","10","0","0","3","15","33","6","0","0",17,"4","Spanish La Liga"
"Real Madrid","Mario Martín",31,"Mid","0","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Carlos Dotor",32,"Mid","1.8 m","68 kg","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Sergio Arribas",33,"Mid","1.73 m","63 kg","Spain","2","2","0","0","0","0","0","0","0","0",1,"0","Spanish La Liga"
"Real Madrid","Nico",40,"Mid","0","0","Argentina","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Madrid","Eden Hazard",7,"Fwd","1.75 m","73 kg","Belgium","6","4","0","0","1","1","9","0","0","0",2,"0","Spanish La Liga"
"Real Madrid","Karim Benzema",9,"Fwd","1.85 m","81 kg","France","21","0","0","0","3","9","5","1","0","17",96,"37","Spanish La Liga"
"Real Madrid","Marco Asensio",11,"Fwd","1.83 m","76 kg","Spain","28","14","0","0","6","8","14","1","0","9",55,"23","Spanish La Liga"
"Real Madrid","Vinícius Júnior",20,"Fwd","1.75 m","73 kg","Brazil","31","1","0","0","10","45","118","10","0","10",74,"33","Spanish La Liga"
"Real Madrid","Rodrygo",21,"Fwd","1.75 m","63 kg","Brazil","30","8","0","0","8","19","43","3","0","6",87,"26","Spanish La Liga"
"Real Madrid","Mariano",24,"Fwd","1.8 m","76 kg","Dominican Republic","9","8","0","0","0","3","0","2","0","0",5,"0","Spanish La Liga"
"Real Madrid","Álvaro Rodríguez",39,"Fwd","1.93 m","81 kg","Uruguay","5","5","0","0","2","2","0","0","0","1",2,"1","Spanish La Liga"
"Real Sociedad","Álex Remiro",1,"GK","1.91 m","78 kg","Spain","34","0","69","29","0","0","4","1","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Andoni Zubiaurre",13,"GK","1.91 m","78 kg","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Unai Marrero",32,"GK","1.88 m","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Egoitz Arana",45,"GK","0","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Alex Sola",2,"Def","1.78 m","73 kg","Spain","10","7","0","0","0","3","8","1","0","0",4,"1","Spanish La Liga"
"Real Sociedad","Aritz Elustondo",6,"Def","1.8 m","71 kg","Spain","22","8","0","0","1","18","9","4","1","0",7,"0","Spanish La Liga"
"Real Sociedad","Aihen Muñoz",12,"Def","1.75 m","68 kg","Spain","21","3","0","0","1","26","13","2","0","0",6,"2","Spanish La Liga"
"Real Sociedad","Diego Rico",15,"Def","1.8 m","78 kg","Spain","18","2","0","0","0","26","25","3","0","0",6,"1","Spanish La Liga"
"Real Sociedad","Gorosabel",18,"Def","1.75 m","68 kg","Spain","23","6","0","0","0","19","16","3","0","0",10,"0","Spanish La Liga"
"Real Sociedad","Jon Pacheco Dozagarat",20,"Def","1.83 m","77 kg","Spain","13","3","0","0","0","12","9","2","0","0",2,"0","Spanish La Liga"
"Real Sociedad","Robin Le Normand",24,"Def","1.88 m","78 kg","France","30","2","0","0","0","37","27","6","0","0",10,"2","Spanish La Liga"
"Real Sociedad","Aritz Arambarri",26,"Def","1.85 m","76 kg","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Jonathan Gomez",35,"Def","1.75 m","71 kg","USA","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Martín Zubimendi",3,"Mid","1.8 m","73 kg","Spain","32","1","0","0","2","46","29","12","0","1",12,"2","Spanish La Liga"
"Real Sociedad","Asier Illarramendi",4,"Mid","1.78 m","73 kg","Spain","21","11","0","0","0","18","12","4","0","1",10,"3","Spanish La Liga"
"Real Sociedad","Igor Zubeldia",5,"Mid","1.8 m","73 kg","Spain","27","2","0","0","1","39","10","8","0","1",8,"2","Spanish La Liga"
"Real Sociedad","Mikel Merino",8,"Mid","1.88 m","83 kg","Spain","29","4","0","0","9","65","45","5","1","1",39,"14","Spanish La Liga"
"Real Sociedad","Takefusa Kubo",14,"Mid","1.73 m","63 kg","Japan","31","5","0","0","4","29","41","2","0","8",65,"27","Spanish La Liga"
"Real Sociedad","Ander Guevara",16,"Mid","1.8 m","73 kg","Spain","7","5","0","0","0","4","3","2","0","0",1,"0","Spanish La Liga"
"Real Sociedad","Robert Navarro",17,"Mid","1.78 m","68 kg","Spain","17","16","0","0","0","8","6","2","0","0",11,"5","Spanish La Liga"
"Real Sociedad","David Silva",21,"Mid","1.7 m","67 kg","Spain","27","3","0","0","5","29","33","3","0","2",29,"12","Spanish La Liga"
"Real Sociedad","Beñat Turrientes",22,"Mid","1.8 m","68 kg","Spain","6","5","0","0","0","1","1","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Brais Méndez",23,"Mid","1.88 m","76 kg","Spain","31","4","0","0","3","57","47","6","0","7",54,"19","Spanish La Liga"
"Real Sociedad","Urko Gonzalez",30,"Mid","1.88 m","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Jon Ander Olasagasti",31,"Mid","1.75 m","73 kg","Spain","3","3","0","0","0","1","4","0","0","0",3,"1","Spanish La Liga"
"Real Sociedad","Jon Magunacelaya",34,"Mid","0","0","Spain","2","2","0","0","0","1","1","0","0","0",1,"1","Spanish La Liga"
"Real Sociedad","Pablo Marín",42,"Mid","0","0","Spain","9","6","0","0","0","11","2","1","0","0",8,"4","Spanish La Liga"
"Real Sociedad","Martín Merquelanz",0,"Fwd","1.75 m","72 kg","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","Spanish La Liga"
"Real Sociedad","Ander Barrenetxea",7,"Fwd","1.78 m","73 kg","Spain","19","12","0","0","0","20","11","4","0","3",10,"6","Spanish La Liga"
"Real Sociedad","Carlos Fernández",9,"Fwd","1.85 m","72 kg","Spain","20","13","0","0","0","13","14","5","0","1",16,"3","Spanish La Liga"
"Real Sociedad","Mikel Oyarzabal",10,"Fwd","1.8 m","78 kg","Spain","20","8","0","0","1","9","16","1","0","4",17,"9","Spanish La Liga"
"Real Sociedad","Mohamed Ali-Cho",11,"Fwd","1.8 m","66 kg","France","16","12","0","0","2","7","12","1","0","0",18,"9","Spanish La Liga"
"Real Sociedad","Alexander Sørloth",19,"Fwd","1.96 m","88 kg","Norway","30","5","0","0","1","27","14","4","0","10",51,"22","Spanish La Liga"
"Real Sociedad","Sadiq Umar",25,"Fwd","1.93 m","73 kg","Nigeria","5","1","0","0","0","10","3","1","0","3",8,"4","Spanish La Liga"
"Real Sociedad","Ander Martín",28,"Fwd","1.75 m","78 kg","Spain","3","3","0","0","0","2","0","0","0","0",0,"0","Spanish La Liga"
"Tottenham Hotspur","Hugo Lloris",1,"GK","1.88 m","82 kg","France","25","0","70","38","0","0","2","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Fraser Forster",20,"GK","2.01 m","92 kg","England","12","1","30","20","0","0","2","1","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Brandon Austin",40,"GK","1.88 m","82 kg","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Alfie Whiteman",41,"GK","1.88 m","83 kg","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Charlie Sayers",3,"Def","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Davinson Sánchez",6,"Def","1.88 m","81 kg","Colombia","16","10","0","0","0","5","4","1","0","0",2,"0","English Premier League"
"Tottenham Hotspur","Emerson Royal",12,"Def","1.8 m","78 kg","Brazil","24","6","0","0","1","19","28","2","1","2",15,"6","English Premier League"
"Tottenham Hotspur","Eric Dier",15,"Def","1.88 m","83 kg","England","33","2","0","0","1","25","11","3","0","2",17,"4","English Premier League"
"Tottenham Hotspur","Cristian Romero",17,"Def","1.85 m","78 kg","Argentina","27","1","0","0","1","42","12","10","1","0",11,"2","English Premier League"
"Tottenham Hotspur","Pedro Porro",23,"Def","1.73 m","68 kg","Spain","13","1","0","0","2","12","16","0","0","2",20,"6","English Premier League"
"Tottenham Hotspur","Japhet Tanganga",25,"Def","1.83 m","76 kg","England","4","2","0","0","0","3","3","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Ben Davies",33,"Def","1.8 m","77 kg","Wales","29","5","0","0","2","29","17","4","0","2",14,"5","English Premier League"
"Tottenham Hotspur","Clément Lenglet",34,"Def","1.85 m","81 kg","France","24","2","0","0","2","20","16","4","0","0",12,"2","English Premier League"
"Tottenham Hotspur","Malachi Walcott",46,"Def","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Maksim Paskotši",48,"Def","0","0","Estonia","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Kallum Cesay",50,"Def","0","0","Sierra Leone","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Marqes Muir",62,"Def","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Alfie Dorrington",65,"Def","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Oliver Skipp",4,"Mid","1.75 m","68 kg","England","21","5","0","0","1","21","14","7","0","1",5,"3","English Premier League"
"Tottenham Hotspur","Pierre-Emile Hojbjerg",5,"Mid","1.88 m","83 kg","Denmark","35","0","0","0","5","37","36","5","0","4",31,"8","English Premier League"
"Tottenham Hotspur","Ivan Perisic",14,"Mid","1.85 m","78 kg","Croatia","33","10","0","0","8","30","8","6","0","1",28,"6","English Premier League"
"Tottenham Hotspur","Arnaut Danjuma",16,"Mid","1.78 m","73 kg","Netherlands","8","8","0","0","0","0","0","0","0","1",3,"3","English Premier League"
"Tottenham Hotspur","Ryan Sessegnon",19,"Mid","1.78 m","68 kg","England","17","8","0","0","1","15","6","4","0","2",16,"6","English Premier League"
"Tottenham Hotspur","Dejan Kulusevski",21,"Mid","1.85 m","78 kg","Sweden","28","7","0","0","6","29","22","2","0","2",41,"9","English Premier League"
"Tottenham Hotspur","Pape Matar Sarr",29,"Mid","1.85 m","68 kg","Senegal","10","8","0","0","0","4","3","1","0","0",2,"0","English Premier League"
"Tottenham Hotspur","Rodrigo Bentancur",30,"Mid","1.88 m","72 kg","Uruguay","18","1","0","0","2","24","8","8","0","5",15,"9","English Premier League"
"Tottenham Hotspur","Yves Bissouma",38,"Mid","1.83 m","78 kg","Mali","21","13","0","0","0","15","8","5","0","0",5,"0","English Premier League"
"Tottenham Hotspur","Nile John",43,"Mid","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Alfie Devine",45,"Mid","1.78 m","73 kg","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Matthew Craig",51,"Mid","0","0","Scotland","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Romaine Mundle",55,"Mid","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Max Robson",57,"Mid","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","George Abbott",77,"Mid","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Son Heung-Min",7,"Fwd","1.83 m","77 kg","South Korea","34","3","0","0","5","10","36","2","0","10",76,"34","English Premier League"
"Tottenham Hotspur","Richarlison",9,"Fwd","1.83 m","83 kg","Brazil","25","13","0","0","3","14","22","3","0","1",22,"9","English Premier League"
"Tottenham Hotspur","Harry Kane",10,"Fwd","1.88 m","86 kg","England","36","0","0","0","3","26","56","6","0","27",121,"53","English Premier League"
"Tottenham Hotspur","Lucas Moura",27,"Fwd","1.73 m","72 kg","Brazil","13","13","0","0","0","2","3","0","1","0",1,"0","English Premier League"
"Tottenham Hotspur","Yago Alonso",58,"Fwd","0","0","Spain","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Will Lankshear",62,"Fwd","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
"Tottenham Hotspur","Jamie Donley",63,"Fwd","0","0","England","0","0","0","0","0","0","0","0","0","0",0,"0","English Premier League"
